func_name, func_id, global_name
"load_optpage_data_personal", 56070, "edit_identity"
"load_optpage_data_personal", 56070, "edit_name"
"load_optpage_data_personal", 56070, "full_name"
"load_optpage_data_personal", 56070, "reply_to"
"load_optpage_data_personal", 56070, "email_address"
"load_optpage_data_personal", 56070, "signature"
"load_optpage_data_personal", 56070, "tzChangeAllowed"
"load_optpage_data_personal", 56070, "color"
"save_option_signature", 56920, "data_dir"
"save_option_signature", 56920, "username"
"load_optpage_data_folder", 56985, "username"
"load_optpage_data_folder", 56985, "key"
"load_optpage_data_folder", 56985, "imapServerAddress"
"load_optpage_data_folder", 56985, "imapPort"
"load_optpage_data_folder", 56985, "folder_prefix"
"load_optpage_data_folder", 56985, "default_folder_prefix"
"load_optpage_data_folder", 56985, "show_prefix_option"
"save_option_trash_folder", 58098, "data_dir"
"save_option_trash_folder", 58098, "username"
"save_option_sent_folder", 58175, "data_dir"
"save_option_sent_folder", 58175, "username"
"save_option_draft_folder", 58252, "data_dir"
"save_option_draft_folder", 58252, "username"
"filters_SaveCache", 61030, "data_dir"
"filters_SaveCache", 61030, "SpamFilters_DNScache"
"filters_LoadCache", 61201, "data_dir"
"filters_LoadCache", 61201, "SpamFilters_DNScache"
"filters_bulkquery", 61314, "SpamFilters_YourHop"
"filters_bulkquery", 61314, "attachment_dir"
"filters_bulkquery", 61314, "username"
"filters_bulkquery", 61314, "SpamFilters_DNScache"
"filters_bulkquery", 61314, "SpamFilters_BulkQuery"
"filters_bulkquery", 61314, "SpamFilters_CacheTTL"
"start_filters", 61840, "mailbox"
"start_filters", 61840, "imapServerAddress"
"start_filters", 61840, "imapPort"
"start_filters", 61840, "imap"
"start_filters", 61840, "imap_general"
"start_filters", 61840, "filters"
"start_filters", 61840, "imap_stream"
"start_filters", 61840, "imapConnection"
"start_filters", 61840, "UseSeparateImapConnection"
"start_filters", 61840, "AllowSpamFilters"
"user_filters", 62088, "data_dir"
"user_filters", 62088, "username"
"filter_search_and_delete", 62308, "languages"
"filter_search_and_delete", 62308, "squirrelmail_language"
"filter_search_and_delete", 62308, "allow_charset_search"
"filter_search_and_delete", 62308, "uid_support"
"filter_search_and_delete", 62308, "imap_server_type"
"spam_filters", 62716, "data_dir"
"spam_filters", 62716, "username"
"spam_filters", 62716, "uid_support"
"spam_filters", 62716, "SpamFilters_YourHop"
"spam_filters", 62716, "SpamFilters_DNScache"
"spam_filters", 62716, "SpamFilters_SharedCache"
"spam_filters", 62716, "SpamFilters_BulkQuery"
"filters_spam_check_site", 63335, "SpamFilters_DNScache"
"filters_spam_check_site", 63335, "SpamFilters_CacheTTL"
"load_filters", 63530, "data_dir"
"load_filters", 63530, "username"
"load_spam_filters", 63629, "data_dir"
"load_spam_filters", 63629, "username"
"load_spam_filters", 63629, "SpamFilters_ShowCommercial"
"remove_filter", 65193, "data_dir"
"remove_filter", 65193, "username"
"filter_swap", 65258, "data_dir"
"filter_swap", 65258, "username"
"update_for_folder", 65345, "plugins"
"update_for_folder", 65345, "data_dir"
"update_for_folder", 65345, "username"
"do_error", 65520, "color"
"Mail_Fetch_Status", 65638, NULL
"squirrelmail_plugin_init_mail_fetch", 67447, "squirrelmail_plugin_hooks"
"mail_fetch_link", 67505, NULL
"mail_fetch_load_pref", 67525, "data_dir"
"mail_fetch_load_pref", 67525, "mailfetch_server_number"
"mail_fetch_load_pref", 67525, "mailfetch_cypher"
"mail_fetch_load_pref", 67525, "mailfetch_port_"
"mail_fetch_load_pref", 67525, "mailfetch_server_"
"mail_fetch_load_pref", 67525, "mailfetch_alias_"
"mail_fetch_load_pref", 67525, "mailfetch_user_"
"mail_fetch_load_pref", 67525, "mailfetch_pass_"
"mail_fetch_load_pref", 67525, "mailfetch_lmos_"
"mail_fetch_load_pref", 67525, "mailfetch_uidl_"
"mail_fetch_load_pref", 67525, "mailfetch_login_"
"mail_fetch_load_pref", 67525, "mailfetch_fref_"
"mail_fetch_load_pref", 67525, "PHP_SELF"
"mail_fetch_login", 67827, "data_dir"
"mail_fetch_login", 67827, "imapServerAddress"
"mail_fetch_login", 67827, "imapPort"
"mail_fetch_setnew", 68813, "data_dir"
"mailfetch_optpage_register_block", 68849, "optpage_blocks"
"mail_fetch_folderact", 68887, "username"
"mail_fetch_folderact", 68887, "data_dir"
"validate_mail_fetch_port_number", 69051, "mail_fetch_allowable_ports"
"validate_mail_fetch_server_address", 69133, "mail_fetch_block_server_pattern"
"hex2bin", 69214, NULL
"mf_keyED", 69280, "MF_TIT"
"encrypt", 69386, NULL
"decrypt", 69511, NULL
"mail_fetch_check_folder", 69593, "mail_fetch_allow_unsubscribed"
"mail_fetch_check_noselect", 69679, NULL
"POP3", 72707, NULL
"update_timer", 72795, NULL
"connect", 72826, NULL
"user", 73071, NULL
"pass", 73186, NULL
"apop", 73322, NULL
"login", 73595, NULL
"top", 73698, NULL
"pop_list", 73922, NULL
"get", 74326, NULL
"last", 74516, NULL
"reset", 74659, NULL
"send_cmd", 74753, NULL
"quit", 74887, NULL
"popstat", 75003, NULL
"uidl", 75052, NULL
"delete", 75398, NULL
"is_ok", 75509, NULL
"strip_clf", 75547, NULL
"parse_banner", 75593, NULL
"stripos", 75735, NULL
"squirrelmail_plugin_init_squirrelspell", 75821, "squirrelmail_plugin_hooks"
"squirrelspell_optpage_register_block", 75855, "optpage_blocks"
"squirrelspell_setup", 75901, NULL
"sqspell_makePage", 76100, "color"
"sqspell_makePage", 76100, "SQSPELL_VERSION"
"sqspell_makeWindow", 76326, "color"
"sqspell_makeWindow", 76326, "SQSPELL_VERSION"
"sqspell_crypto", 76526, NULL
"sqspell_upgradeWordsFile", 76663, "SQSPELL_APP_DEFAULT"
"sqspell_upgradeWordsFile", 76663, "SQSPELL_VERSION"
"sqspell_getSettings", 76729, "SQSPELL_APP"
"sqspell_getSettings", 76729, "SQSPELL_APP_DEFAULT"
"sqspell_getLang", 76819, NULL
"sqspell_getWords", 76888, "SQSPELL_WORDS_FILE"
"sqspell_getWords", 76888, "SQSPELL_CRYPTO"
"sqspell_getWords", 76888, "SCRIPT_NAME"
"sqspell_writeWords", 77251, "SQSPELL_WORDS_FILE"
"sqspell_writeWords", 77251, "SQSPELL_CRYPTO"
"sqspell_deleteWords", 77375, "SQSPELL_WORDS_FILE"
"sqspell_makeDummy", 77400, "SQSPELL_VERSION"
"sqspell_makeDummy", 77400, "SQSPELL_APP_DEFAULT"
"sqspell_ckMOD", 77438, NULL
"squirrelmail_plugin_init_info", 77648, "squirrelmail_plugin_hooks"
"info_opt", 77666, "optpage_blocks"
"get_caps", 77710, NULL
"imap_test", 77764, "default_charset"
"print_response", 77865, NULL
"info_is_plugin_enabled", 77911, "plugins"
"squirrelmail_plugin_init_delete_move_next", 78769, "squirrelmail_plugin_hooks"
"fix_sort_array", 78835, "username"
"fix_sort_array", 78835, "data_dir"
"fix_sort_array", 78835, "allow_server_sort"
"fix_sort_array", 78835, "allow_thread_sort"
"fix_sort_array", 78835, "thread_sort_messages"
"fix_sort_array", 78835, "mailbox"
"fix_sort_array", 78835, "imapConnection"
"fix_sort_array", 78835, "sort"
"fix_sort_array", 78835, "uid_support"
"fix_sort_array", 78835, "mbx_response"
"delete_move_del_arr_elem", 78957, NULL
"delete_move_show_msg_array", 79008, "msort"
"delete_move_show_msg_array", 79008, "msgs"
"delete_move_expunge_from_all", 79074, "msgs"
"delete_move_expunge_from_all", 79074, "msort"
"delete_move_expunge_from_all", 79074, "sort"
"delete_move_expunge_from_all", 79074, "imapConnection"
"delete_move_expunge_from_all", 79074, "mailbox"
"delete_move_expunge_from_all", 79074, "uid_support"
"delete_move_next_action", 79264, NULL
"delete_move_next_read_t", 79334, "delete_move_next_t"
"delete_move_next_read_b", 79356, "delete_move_next_b"
"delete_move_next_read", 79378, "delete_move_next_formATtop"
"delete_move_next_read", 79378, "delete_move_next_formATbottom"
"delete_move_next_read", 79378, "color"
"delete_move_next_read", 79378, "where"
"delete_move_next_read", 79378, "what"
"delete_move_next_read", 79378, "currentArrayIndex"
"delete_move_next_read", 79378, "passed_id"
"delete_move_next_read", 79378, "mailbox"
"delete_move_next_read", 79378, "sort"
"delete_move_next_read", 79378, "startMessage"
"delete_move_next_read", 79378, "delete_id"
"delete_move_next_read", 79378, "move_id"
"delete_move_next_read", 79378, "base_uri"
"delete_move_next_read", 79378, "imapConnection"
"delete_move_next_read", 79378, "auto_expunge"
"delete_move_next_read", 79378, "move_to_trash"
"delete_move_next_read", 79378, "mbx_response"
"delete_move_next_read", 79378, "uid_support"
"delete_move_next_read", 79378, "passed_ent_id"
"delete_move_next_read", 79378, "delete_move_next_show_unread"
"get_move_target_list", 79879, "imapConnection"
"get_move_target_list", 79879, "lastTargetMailbox"
"delete_move_next_moveNextForm", 79929, "color"
"delete_move_next_moveNextForm", 79929, "where"
"delete_move_next_moveNextForm", 79929, "what"
"delete_move_next_moveNextForm", 79929, "currentArrayIndex"
"delete_move_next_moveNextForm", 79929, "passed_id"
"delete_move_next_moveNextForm", 79929, "mailbox"
"delete_move_next_moveNextForm", 79929, "sort"
"delete_move_next_moveNextForm", 79929, "startMessage"
"delete_move_next_moveNextForm", 79929, "delete_id"
"delete_move_next_moveNextForm", 79929, "move_id"
"delete_move_next_moveNextForm", 79929, "imapConnection"
"delete_move_next_moveNextForm", 79929, "base_uri"
"delete_move_next_moveRightMainForm", 80064, "color"
"delete_move_next_moveRightMainForm", 80064, "where"
"delete_move_next_moveRightMainForm", 80064, "what"
"delete_move_next_moveRightMainForm", 80064, "currentArrayIndex"
"delete_move_next_moveRightMainForm", 80064, "passed_id"
"delete_move_next_moveRightMainForm", 80064, "mailbox"
"delete_move_next_moveRightMainForm", 80064, "sort"
"delete_move_next_moveRightMainForm", 80064, "startMessage"
"delete_move_next_moveRightMainForm", 80064, "delete_id"
"delete_move_next_moveRightMainForm", 80064, "move_id"
"delete_move_next_moveRightMainForm", 80064, "imapConnection"
"delete_move_next_moveRightMainForm", 80064, "base_uri"
"delete_move_next_unread", 80190, "imapConnection"
"delete_move_next_delete", 80253, "imapConnection"
"delete_move_next_delete", 80253, "auto_expunge"
"delete_move_next_move", 80335, "imapConnection"
"delete_move_next_move", 80335, "mailbox"
"delete_move_next_move", 80335, "auto_expunge"
"delete_move_next_move", 80335, "lastTargetMailbox"
"delete_move_next_display_inside", 80453, "username"
"delete_move_next_display_inside", 80453, "data_dir"
"delete_move_next_display_inside", 80453, "delete_move_next_show_unread"
"delete_move_next_display_inside", 80453, "delete_move_next_t"
"delete_move_next_display_inside", 80453, "delete_move_next_formATtop"
"delete_move_next_display_inside", 80453, "delete_move_next_b"
"delete_move_next_display_inside", 80453, "delete_move_next_formATbottom"
"delete_move_next_display_save", 80600, "username"
"delete_move_next_display_save", 80600, "data_dir"
"delete_move_next_loading_prefs", 80793, "username"
"delete_move_next_loading_prefs", 80793, "data_dir"
"delete_move_next_loading_prefs", 80793, "delete_move_next_show_unread"
"delete_move_next_loading_prefs", 80793, "delete_move_next_t"
"delete_move_next_loading_prefs", 80793, "delete_move_next_formATtop"
"delete_move_next_loading_prefs", 80793, "delete_move_next_b"
"delete_move_next_loading_prefs", 80793, "delete_move_next_formATbottom"
"squirrelmail_plugin_init_sent_subfolders", 80928, "squirrelmail_plugin_hooks"
"sent_subfolders_check_handleAsSent", 80986, "handleAsSent_result"
"sent_subfolders_check_handleAsSent", 80986, "sent_subfolders_base"
"sent_subfolders_check_handleAsSent", 80986, "use_sent_subfolders"
"sent_subfolders_load_prefs", 81079, "use_sent_subfolders"
"sent_subfolders_load_prefs", 81079, "data_dir"
"sent_subfolders_load_prefs", 81079, "username"
"sent_subfolders_load_prefs", 81079, "sent_folder"
"sent_subfolders_load_prefs", 81079, "sent_subfolders_setting"
"sent_subfolders_load_prefs", 81079, "sent_subfolders_base"
"sent_subfolders_optpage_loadhook_folders", 81148, "optpage_data"
"sent_subfolders_optpage_loadhook_folders", 81148, "imapServerAddress"
"sent_subfolders_optpage_loadhook_folders", 81148, "imapPort"
"filter_folders", 81368, NULL
"save_option_sent_subfolders_setting", 81390, "data_dir"
"save_option_sent_subfolders_setting", 81390, "username"
"save_option_sent_subfolders_setting", 81390, "use_sent_subfolders"
"save_option_sent_subfolders_setting", 81390, "sent_subfolders_base"
"sent_subfolders_update_sentfolder", 81480, "sent_folder"
"sent_subfolders_update_sentfolder", 81480, "auto_create_special"
"sent_subfolders_update_sentfolder", 81480, "auto_create_done"
"sent_subfolders_update_sentfolder", 81480, "sent_subfolders_base"
"sent_subfolders_update_sentfolder", 81480, "sent_subfolders_setting"
"sent_subfolders_update_sentfolder", 81480, "data_dir"
"sent_subfolders_update_sentfolder", 81480, "imapServerAddress"
"sent_subfolders_update_sentfolder", 81480, "imapPort"
"sent_subfolders_update_sentfolder", 81480, "use_sent_subfolders"
"sent_subfolders_update_sentfolder", 81480, "move_to_sent"
"sent_subfolders_update_sentfolder", 81480, "imap_server_type"
"save_option_sent_subfolders_base", 81886, NULL
"sent_subfolder_getQuarter", 81907, NULL
"sent_subfolders_special_mailbox", 81994, "data_dir"
"sent_subfolders_special_mailbox", 81994, "username"
"sent_subfolders_special_mailbox", 81994, "sent_folder"
"show_event_form", 82355, "color"
"show_event_form", 82355, "editor_size"
"show_event_form", 82355, "year"
"show_event_form", 82355, "day"
"show_event_form", 82355, "month"
"show_event_form", 82355, "hour"
"startcalendar", 83254, "year"
"startcalendar", 83254, "month"
"startcalendar", 83254, "color"
"drawmonthview", 83681, "year"
"drawmonthview", 83681, "month"
"drawmonthview", 83681, "color"
"drawmonthview", 83681, "calendardata"
"drawmonthview", 83681, "todayis"
"endcalendar", 84053, "year"
"endcalendar", 84053, "month"
"endcalendar", 84053, "day"
"endcalendar", 84053, "color"
"squirrelmail_plugin_init_calendar", 84253, "squirrelmail_plugin_hooks"
"calendar", 84271, NULL
"day_header", 84402, "color"
"day_header", 84402, "month"
"day_header", 84402, "day"
"day_header", 84402, "year"
"day_header", 84402, "prev_year"
"day_header", 84402, "prev_month"
"day_header", 84402, "prev_day"
"day_header", 84402, "prev_date"
"day_header", 84402, "next_month"
"day_header", 84402, "next_day"
"day_header", 84402, "next_year"
"day_header", 84402, "next_date"
"initialize_events", 84574, "daily_events"
"initialize_events", 84574, "calendardata"
"initialize_events", 84574, "month"
"initialize_events", 84574, "day"
"initialize_events", 84574, "year"
"display_events", 84698, "daily_events"
"display_events", 84698, "month"
"display_events", 84698, "day"
"display_events", 84698, "year"
"display_events", 84698, "color"
"calendar_header", 85335, "color"
"calendar_header", 85335, "year"
"calendar_header", 85335, "day"
"calendar_header", 85335, "month"
"select_option_length", 85426, NULL
"select_option_minute", 85588, NULL
"select_option_hour", 85695, NULL
"select_option_priority", 85774, NULL
"select_option_year", 85859, NULL
"select_option_month", 85921, NULL
"select_option_day", 86025, NULL
"calendar_readmultiline", 86114, NULL
"calendar_encodedata", 86157, NULL
"readcalendardata", 86205, "calendardata"
"readcalendardata", 86205, "username"
"readcalendardata", 86205, "data_dir"
"readcalendardata", 86205, "year"
"writecalendardata", 86377, "calendardata"
"writecalendardata", 86377, "username"
"writecalendardata", 86377, "data_dir"
"writecalendardata", 86377, "year"
"writecalendardata", 86377, "color"
"delete_event", 86604, "calendardata"
"delete_event", 86604, "username"
"delete_event", 86604, "data_dir"
"delete_event", 86604, "year"
"update_event", 86752, "calendardata"
"update_event", 86752, "username"
"update_event", 86752, "data_dir"
"update_event", 86752, "year"
"confirm_deletion", 87142, "calself"
"confirm_deletion", 87142, "dyear"
"confirm_deletion", 87142, "dmonth"
"confirm_deletion", 87142, "dday"
"confirm_deletion", 87142, "dhour"
"confirm_deletion", 87142, "dminute"
"confirm_deletion", 87142, "calendardata"
"confirm_deletion", 87142, "color"
"confirm_deletion", 87142, "year"
"confirm_deletion", 87142, "month"
"confirm_deletion", 87142, "day"
"update_event_form", 88178, "color"
"update_event_form", 88178, "editor_size"
"update_event_form", 88178, "year"
"update_event_form", 88178, "day"
"update_event_form", 88178, "month"
"update_event_form", 88178, "hour"
