func_id,prefix,globals
32359,formatMailboxName_0_,save_as_draft;sent_folder;color;use_special_folder_color;folder_prefix;draft_folder;unseen_notify;trash_folder;collapse_folders;unseen_type;move_to_sent;move_to_trash
73322,apop_0_,
145006,sq_defang_0_,
142961,sqimap_base64_decode_0_,
183774,getDayName_0_,
128635,sqWordWrap_0_,languages;squirrelmail_language
77438,sqspell_ckMOD_0_,
177791,getSelfSortMessages_0_,
134786,sqsession_destroy_0_,base_uri
75398,delete_0_,
124553,isInboxMailbox_0_,
161418,sqimap_messages_flag_0_,uid_support
200343,unicodetousascii_0_,
56985,load_optpage_data_folder_0_,username;show_prefix_option;imapPort;folder_prefix;default_folder_prefix;key;imapServerAddress
126619,user_strcasecmp_0_,
69280,mf_keyED_0_,MF_TIT
34467,do_err_0_,IND
224932,initAttachment_0_,
210781,getPref_0_,
200305,charset_encode_us_ascii_0_,
65193,remove_filter_0_,username;data_dir
204439,charset_encode_1_,default_charset
229037,getAddr_s_0_,
186031,charset_decode_cp1254_0_,
165552,sqimap_get_num_messages_0_,
222897,parseAddress_2_,
124594,isTrashMailbox_0_,trash_folder;move_to_trash
126643,sqimap_mailbox_option_list_0_,username;data_dir
218804,FindId_0_,
138938,use_plugin_0_,
212670,clean_crlf_0_,
85695,select_option_hour_0_,
208578,bindtextdomain_0_,
167883,error_box_0_,org_title;pageheader_sent
161476,sqimap_messages_remove_flag_0_,uid_support
184006,getMonthName_0_,
11975,newMail_0_,body;username;editor_size;body_quote;data_dir;imapPort;composesession;use_signature;idents;languages;squirrelmail_language;key;composeMessage;imapServerAddress;default_charset;default_use_priority;strip_sigs
200392,charset_encode_cp1256_0_,
225301,parseHeader_0_,
120522,full_address_0_,username;data_dir
214732,foldLine_0_,
196302,abook_local_file_0_,
173779,sq_strpos_8bit_0_,
130772,makeComposeLink_0_,javascript_on;compose_new_win
26329,formatMenubar_0_,sort;what;startMessage;base_uri;enable_forward_as_attachment;draft_folder;color;save_as_draft;where;PHP_SELF
83681,drawmonthview_0_,color;month;todayis;calendardata;year
145123,sq_unspace_0_,
65258,filter_swap_0_,username;data_dir
143084,decodeBody_0_,
175854,elapsed_0_,
141039,listEntities_0_,
138995,do_hook_0_,squirrelmail_plugin_hooks
75509,is_ok_0_,
149238,sq_sanitize_0_,
113620,Darkness_HeaderPlugin_0_,
132862,getPref_1_,prefs_cache
232405,japanese_xtra_utf7_imap_encode_0_,
165633,parseAddress_0_,
69386,encrypt_0_,
46859,oh_opt_0_,
198274,modify_2_,
85774,select_option_priority_0_,
124688,isDraftMailbox_0_,save_as_draft;draft_folder
61201,filters_LoadCache_0_,data_dir;SpamFilters_DNScache
75547,strip_clf_0_,
122653,charset_encode_0_,default_charset
212773,preWriteToStream_1_,
136998,echo_template_var_0_,
145196,sq_fixIE_idiocy_0_,
204593,charset_convert_0_,
202547,charset_encode_cp1251_0_,
212788,writeToStream_0_,
130871,sm_print_r_0_,
225080,purgeAttachments_0_,username;attachment_dir
139067,do_hook_function_0_,squirrelmail_plugin_hooks
124732,sqimap_mailbox_expunge_0_,uid_support
94013,adm_array_trim_0_,
175935,printMessageInfo_0_,checkall;internal_date_sort;msgs;color;server_sort_order;pos;thread_sort_messages;msort;row_count;index_order;preselected;td_str;msg;truncate_sender;allow_server_sort;indent_array;message_highlight_list;default_use_priority;truncate_subject
